тата	tˈata
Илья	ˈɪlja
Италире	ˌitalˈiɾɛ
Кавказ	kˈavkaz
Курск	kˈʊrsk
Леонид	lɛˈonɪd
Луций	lˈut͡sɪj
Людмила	ljʊdmˈila
Мăкшă	m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Мисима	misˈima
Михайлов	mixˈajlɔv
Мишши	mˈɪʃʃɪ
Наталья	natˈalja
Нидерландсем	nˌidɛrlˈandsɛm
Пĕррехинче	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r r jˈɛ x ˈɪ n t͡ʃ jˈɛ
Пенза	pˈɛnza
Перу	pˈɛɾʊ
Президенчĕн	p r jˈɛ z ˈɪ d jˈæ n t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
Пёза	pjˈoza
Районти	rajˈɔntɪ
Роговая	rˌoɡovˈaja
Сăмах	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa x
ССР	ssr
Сарăту	s ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t ˈʊ
Тĕрĕк	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k
Улатимĕр	ˈʊ l ˈa t ˈɪ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
Ульянов	ʊljˈanɔv
Хусана	xusˈana
Часах	t͡ʃˈasax
Чукун	t͡ʃˈukʊn
Чулман	t͡ʃˈʊlman
Юлий	jˈulɪj
акăлчанла	ˈa k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l t͡ʃ ˈa n l ˈa
академи	ˌakadˈɛmɪ
америка	ˌamɛɾˈika
ами	ˈamɪ
анса	ˈansa
арканнă	ˈa r k ˈa n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
архитектор	ˌarxitˈɛktɔr
астула	astˈula
аффикс	ˈaffɪks
большевиксен	bˌɔlʃɛvˈɪksɛn
большевиксене	bˌɔlʃɛvɪksˈɛnɛ
вăрçăна	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa
вăрçинче	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ n t͡ʃ jˈɛ
вăхăчĕ	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вĕçĕ	v (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
вĕçленсен	v (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l jˈæ n s jˈæ n
вĕрентекенĕ	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n t jˈɛ k jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вĕрентет	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n t jˈɛ t
вĕрентсе	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n t s jˈɛ
вĕрентӳçĕ	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n t ˈø (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
варринчен	varrˈɪnt͡ʃɛn
виҫӗ	vˈiçɵ
вырăнĕсене	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n jˈɛ
выртнă	v ˈɯ r t n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
вӗсем	vˈɵsɛm
гербĕ	ɡ jˈɛ r b (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
депутачĕ	d jˈɛ p ˈʊ t ˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
диалекчĕ	d ˈɪ ˈa l jˈɛ k t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
енре	jˈænrɛ
иккен	ˈɪkkɛn
илмелле	ɪlmˈɛllɛ
иртереççĕ	ˈɪ r t jˈɛ r jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
ирттерет	ɪrttˈɛɾɛt
испан	ˈɪspan
йăхĕ	j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
йĕрĕ	j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
йĕркелеççĕ	j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r k jˈæ l jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
йывăçран	j ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) r ˈa n
кăларас	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l ˈa r ˈa s
кĕркунне	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r k ˈʊ n n jˈɛ
калаçу	k ˈa l ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ
каналĕ	k ˈa n ˈa l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
канашĕ	k ˈa n ˈa ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
картти	kˈarttɪ
кашнин	kˈaʃnɪn
килĕнче	k ˈɪ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
корпусĕ	k ˈɔ r p ˈʊ s (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
культурине	kˌʊltuɾˈinɛ
кураҫҫӗ	kuɾˈaççɵ
лăпкăлăх	l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) p k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
лартнӑ	lˈartnɯ
литературин	lˌitɛɾatˈuɾɪn
миллиона	mˌɪlliˈona
нихăçан	n ˈɪ x (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) ˈa n
пăлхарсен	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l x ˈa r s jˈæ n
пăрăнать	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa t
пăхăнтарнă	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n t ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пĕлĕвне	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v n jˈɛ
пĕрин	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r ˈɪ n
пĕччен	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t͡ʃ t͡ʃ jˈæ n
пайланнă	p ˈa j l ˈa n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
панипе	panˈipɛ
президент	prɛzˈidɛnt
пулăшаççĕ	p ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
пултарайман	pˌʊltaɾˈajman
раштав	rˈaʃtav
регионӗн	rˌɛɡiˈonɵn
сăввисем	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v v ˈɪ s jˈæ m
сăмахĕсем	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
салинче	salˈɪnt͡ʃɛ
сарăмсăр	s ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
сортран	sˈɔrtran
сутнă	s ˈʊ t n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тăршшĕпе	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ʃ ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
тепри	tˈɛprɪ
тинĕсе	t ˈɪ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈɛ
тишкерсе	tɪʃkˈɛrsɛ
тулă	t ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тунине	tunˈinɛ
тупаççĕ	t ˈʊ p ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
тури	tˈuɾɪ
тухăçалла	t ˈʊ x (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) ˈa l l ˈa
туяннă	t ˈʊ jˈa n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тӳпе	tˈypɛ
тӳрĕ	t ˈø r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тӳррĕн	t ˈø r r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
уйрăммăн	ˈʊ j r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
унсăр	ˈʊ n s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
урăхларах	ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x l ˈa r ˈa x
урамĕнче	ˈʊ r ˈa m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
урама	uɾˈama
фильма	fˈɪlma
фон	fˈɔn
хĕçпăшал	x (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ ˈa l
хатĕрĕ	x ˈa t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
хулисенче	xˌulisˈɛnt͡ʃɛ
хутшăнса	x ˈʊ t ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n s ˈa
хушаççĕ	x ˈʊ ʃ ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
центрĕн	t͡s jˈæ n t r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
чĕлхеллĕ	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x jˈæ l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
чĕлхинчи	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x ˈɪ n t͡ʃ ˈɪ
чĕрчунсен	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r t͡ʃ ˈʊ n s jˈæ n
чечек	t͡ʃˈɛt͡ʃɛk
шая	ʃˈaja
шутлать	ʃˈʊtlat
шывĕсем	ʃ ˈɯ v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
элеменчĕ	ˈæ l jˈæ m jˈæ n t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
юратакан	jˌuɾatˈakan
юхан	jˈuxan
ячӗ	jˈat͡ʃɵ
ҫинчен	çˈɪnt͡ʃɛn
ҫук	çˈʊk
ҫӗнӗ	çˈɵnɵ
ӗҫ	ˈɵç
ӳсекен	ysˈɛkɛn
IV	(͡e͡n)ˈa͡ɪ vˈiː(͡c͡v)
XIV	(͡e͡n)ˈɛks ˈa͡ɪ vˈiː(͡c͡v)
Çăлтăр	(͡e͡n)sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v) l t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
Çĕн	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n
Çĕрпӳ	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r p ˈø
Çара	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r ˈa
Çулталăк	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l t ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k
Çын	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n
Çынсем	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n s jˈæ m
çÿллĕ	(͡e͡n)sˌiːsədˈɪlɐ wˌa͡ɪˈʊmla͡ʊt(͡c͡v) l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çакăнпа	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n p ˈa
çарăн	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
çулпа	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l p ˈa
çулти	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l t ˈɪ
çына	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n ˈa
çыннăн	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
çыхăнтараççĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n t ˈa r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
ÿкернĕ	(͡e͡n)wˌa͡ɪˈʊmla͡ʊt(͡c͡v) k jˈɛ r n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ĕмĕртен	(͡e͡n)ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r t jˈæ n
Ази	ˈazɪ
Альфред	ˈalfrɛd
Анатри	anˈatrɪ
Антон	ˈantɔn
Бразили	brazˈilɪ
ГЭСĕ	ɡ ˈɛ s (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Икса	ˈɪksa
Ирланди	ɪrlˈandɪ
Истори	ɪstˈoɾɪ
Кисан	kˈisan
Китайра	kitˈajra
Константинович	kˌɔnstantinˈovɪt͡ʃ
Культура	kʊltˈuɾa
Македони	mˌakɛdˈonɪ
Малашне	malˈaʃnɛ
Музей	mˈuzɛj
Надым	nˈadɯm
Павăл	p ˈa v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l
Паз	pˈaz
Португали	pˌɔrtuɡˈalɪ
Птолемей	ptolˈɛmɛj
Пушкăрт	p ˈʊ ʃ k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r t
Республикинче	rˌɛspʊblikˈɪnt͡ʃɛ
Сарă	s ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Туçа	t ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa
Хĕçпăшаллă	x (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ ˈa l l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Хĕлле	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l l jˈɛ
Хыпар	xˈɯpar
Чĕрĕ	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Чарыш	t͡ʃˈaɾɯʃ
Чиркӳ	t͡ʃˈɪrkø
Швейцари	ʃvɛjt͡sˈaɾɪ
Яковлевич	jˌakɔvlˈɛvɪt͡ʃ
аçи	ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ
ак	ˈak
акан	ˈakan
алфавичĕн	ˈa l f ˈa v ˈɪ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
анлăрах	ˈa n l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa x
аркану	arkˈanʊ
аркатса	arkˈatsa
аэропорт	ˌaeɾˈopɔrt
б	b
вăйĕ	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вăйĕсене	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n jˈɛ
вăрăммăшĕ	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вали	vˈalɪ
вилнӗ	vˈɪlnɵ
вӑтам	vˈɯtam
илем	ˈilɛm
инженер	ɪnʒˈɛnɛr
ирĕклĕх	ˈɪ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) x
ирттереççĕ	ˈɪ r t t jˈɛ r jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
йăва	j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa
йăлипе	j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l ˈɪ p jˈɛ
йăхĕсен	j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n
йĕркене	j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r k jˈæ n jˈɛ
йĕрне	j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r n jˈɛ
кĕнекене	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n jˈɛ k jˈæ n jˈɛ
кайăксен	k ˈa j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k s jˈæ n
кайнӑ	kˈajnɯ
калаçаççĕ	k ˈa l ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
калаçакан	k ˈa l ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa k ˈa n
калаçма	k ˈa l ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) m ˈa
калать	kˈalat
кам	kˈam
канашне	kanˈaʃnɛ
канма	kˈanma
каччă	k ˈa t͡ʃ t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
каякан	kajˈakan
классика	klassˈika
климачĕ	k l ˈɪ m ˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
красноармеецĕ	k r ˈa s n ˈɔ ˈa r m jˈɛ jˈɛ t͡s (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
куçарма	k ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r m ˈa
куçарсан	k ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r s ˈa n
лавкка	lˈavkka
лараççĕ	l ˈa r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
меслет	mˈɛslɛt
металл	mˈɛtall
минут	mˈinʊt
мӗнле	mˈɵnlɛ
нарăс	n ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s
никама	nikˈama
нимĕн	n ˈɪ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
нумаях	numˈajax
объект	ˈɔbʔɛkt
органĕ	ˈɔ r ɡ ˈa n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пĕлÿ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l (͡e͡n)wˌa͡ɪˈʊmla͡ʊt(͡c͡v)
пĕлĕвĕн	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
пĕлтерĕшне	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l t jˈɛ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ n jˈɛ
пĕлтереççĕ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l t jˈɛ r jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
пĕрлĕхлĕ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) x l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пайран	pˈajran
пайӗ	pˈajɵ
палăрать	p ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa t
паллашма	pallˈaʃma
паллине	pallˈinɛ
паллисемпе	pˌallisˈɛmpɛ
пинçуллăхра	p ˈɪ n (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x r ˈa
пирӗн	pˈiɾɵn
подполковник	pˌɔdpɔlkˈɔvnɪk
политикине	pˌolitikˈinɛ
полици	polˈit͡sɪ
полковник	pɔlkˈɔvnɪk
почта	pˈɔt͡ʃta
пуçтараççĕ	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) t ˈa r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
пулăшнипе	p ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ n ˈɪ p jˈɛ
пурăнакансем	p ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa k ˈa n s jˈæ m
пурăнмасть	p ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n m ˈa s t
пухма	pˈʊxma
пуххине	pʊxxˈinɛ
пуҫне	pˈʊçnɛ
пыл	pˈɯl
пыни	pˈɯnɪ
режиссёрĕ	r jˈɛ ʒ ˈɪ s s jˈɔ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
республикăн	r jˈɛ s p ˈʊ b l ˈɪ k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
республикăри	r jˈɛ s p ˈʊ b l ˈɪ k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈɪ
роле	rˈolɛ
степеньлĕ	s t jˈɛ p jˈæ n l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
сывлăшра	s ˈɯ v l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ r ˈa
сӳтсе	sˈøtsɛ
тĕнчен	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈæ n
тĕнчипе	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ p jˈɛ
тĕпне	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p n jˈɛ
тĕпчевçи	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p t͡ʃ jˈɛ v (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ
тĕсне	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s n jˈɛ
тапăну	t ˈa p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈʊ
темиҫе	tɛmˈiçɛ
температури	tˌɛmpɛɾatˈuɾɪ
теори	tɛˈoɾɪ
тепре	tˈɛprɛ
технологи	tˌɛxnolˈoɡɪ
тивĕçет	t ˈɪ v (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) jˈɛ t
тир	tˈɪr
туй	tˈʊj
тулашĕнче	t ˈʊ l ˈa ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
турккă	t ˈʊ r k k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тутлă	t ˈʊ t l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тухăçлă	t ˈʊ x (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тытăмне	t ˈɯ t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m n jˈɛ
уесĕнчи	ˈʊ jˈɛ s (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ
уйрăлнă	ˈʊ j r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
уйрăмлăхĕсем	ˈʊ j r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
укçана	ˈʊ k (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa n ˈa
урамсем	uɾˈamsɛm
училищине	ˌut͡ʃiliççˈinɛ
уяв	ˈujav
физикăлла	f ˈɪ z ˈɪ k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l l ˈa
фольклор	fˈɔlklɔr
форма	fˈɔrma
фронт	frˈɔnt
хăварать	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa r ˈa t
хĕрарăмсен	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m s jˈæ n
хĕррине	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r r ˈɪ n jˈɛ
хĕсмечĕ	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s m jˈɛ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
хаçата	x ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa t ˈa
хаçатра	x ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa t r ˈa
хайлавĕсене	x ˈa j l ˈa v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n jˈɛ
халăхне	x ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x n jˈɛ
халап	xˈalap
хапхи	xˈapxɪ
хир	xˈɪr
хуласенче	xˌulasˈɛnt͡ʃɛ
хунсен	xˈʊnsɛn
хупăрласа	x ˈʊ p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r l ˈa s ˈa
хурăн	x ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
